01/07/2018,31.5,35,30,-,67,0,6,15.6,24.1,-,
02/07/2018,32.1,36,30,-,62,0,5.6,28.7,46.5,-,o
03/07/2018,31.1,34,29.2,-,64,0,5.3,29.1,42.4,-,o
04/07/2018,31.1,33.5,29,-,65,0,5.5,26.9,37,-,
05/07/2018,31.3,34.5,29,-,64,0,5,22.2,40.7,-,
06/07/2018,31.2,35.5,29,-,60,0,5.8,19.8,27.8,-,
07/07/2018,30.8,33,29,-,63,0,5.6,20.7,29.4,-,
08/07/2018,30.8,33,29,-,64,0,5.8,18.9,29.4,-,
09/07/2018,30.8,34.5,29,-,64,0,5.6,17.4,37,-,
10/07/2018,30.9,33.5,29,-,63,0,5.8,17.2,25.9,-,
11/07/2018,30,33,29,-,69,0,5.5,16.7,25.9,-,
12/07/2018,30.4,33,29,-,65,0,5,17.8,27.8,-,
13/07/2018,30.8,33.5,28.5,-,65,0,4.8,14.3,22.2,-,
14/07/2018,30.7,33.5,29,-,65,0,5.6,14.6,22.2,-,
15/07/2018,30.8,34,29,-,64,0,5.6,16.9,29.4,-,
16/07/2018,30.8,34,29,-,66,0,5,15.4,24.1,-,
17/07/2018,31.3,35.5,29,-,65,0,5.3,18.9,33.5,-,
18/07/2018,30.3,33,29,-,70,0,5,17.6,24.1,-,
19/07/2018,30.3,33,29,-,68,0,5.6,14.6,31.7,-,
20/07/2018,30.2,33,29,-,68,0,5.6,17,33.5,-,
21/07/2018,30.4,34,28,-,65,0,5.6,18.1,27.8,-,
22/07/2018,30,33,28,-,65,0,5.6,21.3,43.2,-,
23/07/2018,30.1,33.5,26,-,65,0,6,16.9,27.8,-,
24/07/2018,29.7,32,28,-,68,0,5.1,19.3,33.5,-,
25/07/2018,29.2,32,28,-,67,0,5,25,44.6,-,
26/07/2018,28.6,31,27,-,70,0,5,26.5,40.7,-,
27/07/2018,29.1,32,27,-,70,0,5.5,21.5,35.2,-,
28/07/2018,29.1,32,27,-,65,0,5.1,18.1,29.4,-,
29/07/2018,28.9,31.5,27,-,68,0,5.8,17.6,29.4,-,
30/07/2018,29.4,32.5,28,-,64,0,5.6,17.8,29.4,-,
31/07/2018,29.3,32,28,-,66,0,4.8,20,27.8,-,o
